YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013    2.5915       2.5915      45.8964      45.8965       3.4410       3.4410       3.0000       3.0000      20.0000      20.0000       1.0051       1.0051       0.0002
2014    2.6376       2.6376      45.3501      45.3502       3.4507       3.4506       3.0000       3.0000      20.0000      20.0000       1.0459       1.0459       0.0002
2015    2.6697       2.6697      44.8476      44.8477       3.4629       3.4628       3.0000       3.0000      20.0000      20.0000       1.0899       1.0899       0.0002
2016    2.6888       2.6888      44.4041      44.4041       3.4790       3.4790       3.0000       3.0000      20.0000      20.0000       1.1370       1.1370       0.0001
2017    2.6981       2.6981      43.9962      43.9963       3.4987       3.4986       3.0000       3.0000      20.0000      20.0000       1.1868       1.1868       0.0001
2018    2.6979       2.6979      43.6214      43.6215       3.5211       3.5210       3.0000       3.0000      20.0000      20.0000       1.2394       1.2394       0.0001
2019    2.6958       2.6958      43.2538      43.2538       3.5453       3.5452       3.0000       3.0000      20.0000      20.0000       1.2946       1.2946       0.0001
2020    2.6972       2.6972      42.9063      42.9064       3.5727       3.5726       3.0000       3.0000      20.0000      20.0000       1.3523       1.3523       0.0001
2021    2.7130       2.7130      42.5398      42.5399       3.6042       3.6041       3.0000       3.0000      20.0000      20.0000       1.4093       1.4093       0.0001
2022    2.7338       2.7338      42.1908      42.1909       3.6387       3.6387       3.0000       3.0000      20.0000      20.0000       1.4673       1.4673       0.0001
2023    2.7537       2.7537      41.8552      41.8552       3.6750       3.6749       3.0000       3.0000      20.0000      20.0000       1.5268       1.5268       0.0001
2024    2.7725       2.7725      41.5453      41.5453       3.7129       3.7129       3.0000       3.0000      20.0000      20.0000       1.5881       1.5881       0.0001
2025    2.7955       2.7955      41.2627      41.2628       3.7529       3.7528       3.0000       3.0000      20.0000      20.0000       1.6510       1.6510       0.0001
2026    2.8275       2.8275      40.9960      40.9961       3.7942       3.7941       3.0000       3.0000      20.0000      20.0000       1.7151       1.7151       0.0001
2027    2.8619       2.8619      40.7468      40.7468       3.8357       3.8356       3.0000       3.0000      20.0000      20.0000       1.7811       1.7811       0.0001
2028    2.8923       2.8923      40.5264      40.5265       3.8768       3.8768       3.0000       3.0000      20.0000      20.0000       1.8498       1.8498       0.0001
2029    2.9119       2.9119      40.3405      40.3406       3.9170       3.9169       3.0000       3.0000      20.0000      20.0000       1.9223       1.9223       0.0001
2030    2.9192       2.9192      40.1932      40.1932       3.9560       3.9559       3.0000       3.0000      20.0000      20.0000       1.9998       1.9998       0.0001
2031    2.9134       2.9134      40.0784      40.0785       3.9933       3.9932       3.0000       3.0000      20.0000      20.0000       2.0830       2.0830       0.0002
2032    2.8970       2.8970      39.9951      39.9951       4.0293       4.0292       3.0000       3.0000      20.0000      20.0000       2.1717       2.1717       0.0002
2033    2.8734       2.8734      39.9158      39.9159       4.0641       4.0640       3.0000       3.0000      20.0000      20.0000       2.2650       2.2650       0.0002
2034    2.8397       2.8396      39.9031      39.9032       4.0996       4.0995       3.0000       3.0000      20.0000      20.0000       2.3633       2.3633       0.0003
2035    2.7933       2.7933      39.9707      39.9708       4.1372       4.1371       3.0000       3.0000      20.0000      20.0000       2.4662       2.4662       0.0003
2036    2.7325       2.7325      40.1236      40.1236       4.1776       4.1775       3.0000       3.0000      20.0000      20.0000       2.5733       2.5733       0.0003
2037    2.6627       2.6627      40.3665      40.3665       4.2219       4.2218       3.0000       3.0000      20.0000      20.0000       2.6843       2.6843       0.0004
2038    2.5891       2.5891      40.6889      40.6890       4.2698       4.2697       3.0000       3.0000      20.0000      20.0000       2.7987       2.7987       0.0004
2039    2.5164       2.5163      41.0830      41.0830       4.3210       4.3209       3.0000       3.0000      20.0000      20.0000       2.9161       2.9161       0.0004
2040    2.4452       2.4452      41.5368      41.5369       4.3750       4.3749       3.0000       3.0000      20.0000      20.0000       3.0362       3.0362       0.0005
2041    2.3764       2.3764      42.0498      42.0498       4.4324       4.4323       3.0000       3.0000      20.0000      20.0000       3.1586       3.1586       0.0005
2042    2.3097       2.3097      42.6260      42.6260       4.4937       4.4936       3.0000       3.0000      20.0000      20.0000       3.2833       3.2833       0.0006
