YEAR      Total Endowment Value/World Assets      Total Government Oil Revenue/World GDP  Total Household Oil Revenue/World GDP
2008      .120893                                   .008301                                   .011487
2009      .120513                                   .008443                                   .011684
2010      .120218                                   .008621                                   .011930
2011      .119295                                   .008727                                   .012077
2012      .117348                                   .008693                                   .012030
2013      .114439                                   .008513                                   .011781
2014      .111279                                   .008284                                   .011463
2015      .108309                                   .008066                                   .011162
2016      .105688                                   .007887                                   .010914
2017      .103380                                   .007739                                   .010709
2018      .101373                                   .007623                                   .010548
2019      .099795                                   .007558                                   .010459
2020      .098677                                   .007553                                   .010451
2021      .097792                                   .007576                                   .010483
2022      .097039                                   .007616                                   .010539
2023      .096852                                   .007743                                   .010715
2024      .096996                                   .007926                                   .010968
2025      .097248                                   .008132                                   .011253
2026      .097346                                   .008320                                   .011514
2027      .097176                                   .008466                                   .011716
2028      .096719                                   .008564                                   .011850
2029      .096044                                   .008619                                   .011927
2030      .095466                                   .008688                                   .012022
2031      .094841                                   .008743                                   .012099
2032      .094249                                   .008799                                   .012176
2033      .093721                                   .008864                                   .012266
2034      .093199                                   .008926                                   .012352
2035      .092564                                   .008965                                   .012405
2036      .091724                                   .008959                                   .012398
2037      .090657                                   .008909                                   .012328
2038      .089388                                   .008816                                   .012199
2039      .088017                                   .008701                                   .012041
2040      .086592                                   .008573                                   .011864
2041      .085154                                   .008439                                   .011678
2042      .083761                                   .008309                                   .011498
2043      .082472                                   .008195                                   .011340
2044      .081332                                   .008104                                   .011214
2045      .080318                                   .008034                                   .011117
2046      .079483                                   .007998                                   .011067
2047      .078833                                   .008000                                   .011070
2048      .078343                                   .008040                                   .011126
2049      .077950                                   .008106                                   .011217
2050      .077529                                   .008182                                   .011323
2051      .077016                                   .008255                                   .011423
2052      .076371                                   .008315                                   .011506
2053      .075619                                   .008366                                   .011577
2054      .074760                                   .008410                                   .011638
2055      .073805                                   .008448                                   .011691
2056      .072767                                   .008484                                   .011740
2057      .071653                                   .008519                                   .011789
2058      .070452                                   .008554                                   .011837
2059      .069144                                   .008583                                   .011877
2060      .067718                                   .008605                                   .011907
2061      .066156                                   .008613                                   .011919
2062      .064459                                   .008607                                   .011911
2063      .062633                                   .008589                                   .011885
2064      .060686                                   .008559                                   .011843
2065      .058631                                   .008519                                   .011788
2066      .056488                                   .008474                                   .011727
2067      .054277                                   .008431                                   .011667
2068      .052009                                   .008394                                   .011616
2069      .049695                                   .008370                                   .011582
2070      .047338                                   .008362                                   .011572
2071      .044934                                   .008376                                   .011591
2072      .042459                                   .008409                                   .011636
2073      .039857                                   .008444                                   .011685
2074      .037120                                   .008482                                   .011737
2075      .034238                                   .008521                                   .011792
2076      .031199                                   .008562                                   .011848
2077      .027994                                   .008605                                   .011907
2078      .024612                                   .008648                                   .011967
2079      .021042                                   .008692                                   .012028
2080      .017273                                   .008736                                   .012089
2081      .013294                                   .008780                                   .012149
2082      .009095                                   .008824                                   .012210
2083      .004667                                   .008870                                   .012274
2084      .000000                                   .000000                                   .000000
2085      .000000                                   .000000                                   .000000
2086      .000000                                   .000000                                   .000000
2087      .000000                                   .000000                                   .000000
2088      .000000                                   .000000                                   .000000
2089      .000000                                   .000000                                   .000000
2090      .000000                                   .000000                                   .000000
2091      .000000                                   .000000                                   .000000
2092      .000000                                   .000000                                   .000000
2093      .000000                                   .000000                                   .000000
2094      .000000                                   .000000                                   .000000
2095      .000000                                   .000000                                   .000000
2096      .000000                                   .000000                                   .000000
2097      .000000                                   .000000                                   .000000
2098      .000000                                   .000000                                   .000000
2099      .000000                                   .000000                                   .000000
2100      .000000                                   .000000                                   .000000
2101      .000000                                   .000000                                   .000000
2102      .000000                                   .000000                                   .000000
2103      .000000                                   .000000                                   .000000
2104      .000000                                   .000000                                   .000000
2105      .000000                                   .000000                                   .000000
2106      .000000                                   .000000                                   .000000
2107      .000000                                   .000000                                   .000000
2108      .000000                                   .000000                                   .000000
------------------------------------------------------------------------------------    -------------------------    ------------------------------------------------------------    ----------------------------------------------    ------------------------------------------------------------
