YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013   24.1749      24.1749      24.7897      24.7897      12.0872      12.0869      14.0000      14.0000      25.0000      25.0000       1.0624       1.0624       0.0002
2014   24.1892      24.1892      25.4336      25.4336      12.2995      12.2992      14.0000      14.0000      25.0000      25.0000       1.0884       1.0884       0.0002
2015   24.2394      24.2393      25.9524      25.9524      12.4619      12.4616      14.0000      14.0000      25.0000      25.0000       1.1139       1.1139       0.0002
2016   24.3270      24.3270      26.4375      26.4375      12.6177      12.6174      14.0000      14.0000      25.0000      25.0000       1.1388       1.1388       0.0002
2017   24.4553      24.4552      26.8947      26.8946      12.7716      12.7713      14.0000      14.0000      25.0000      25.0000       1.1629       1.1629       0.0001
2018   24.6194      24.6194      27.3105      27.3105      12.9142      12.9139      14.0000      14.0000      25.0000      25.0000       1.1866       1.1866       0.0001
2019   24.8251      24.8251      27.6802      27.6802      13.0461      13.0458      14.0000      14.0000      25.0000      25.0000       1.2095       1.2095       0.0001
2020   25.0768      25.0768      28.0161      28.0161      13.1738      13.1735      14.0000      14.0000      25.0000      25.0000       1.2318       1.2318       0.0001
2021   25.3686      25.3685      28.3221      28.3221      13.2971      13.2968      14.0000      14.0000      25.0000      25.0000       1.2534       1.2534       0.0001
2022   25.6946      25.6946      28.5966      28.5965      13.4123      13.4120      14.0000      14.0000      25.0000      25.0000       1.2747       1.2747       0.0000
2023   26.0647      26.0646      28.8432      28.8431      13.5266      13.5263      14.0000      14.0000      25.0000      25.0000       1.2952       1.2952       0.0000
2024   26.4708      26.4708      29.0758      29.0757      13.6434      13.6431      14.0000      14.0000      25.0000      25.0000       1.3151       1.3151       0.0000
2025   26.8942      26.8941      29.3160      29.3159      13.7680      13.7676      14.0000      14.0000      25.0000      25.0000       1.3347       1.3347       0.0000
2026   27.3051      27.3051      29.5692      29.5692      13.8964      13.8961      14.0000      14.0000      25.0000      25.0000       1.3544       1.3544       0.0000
2027   27.6850      27.6849      29.8444      29.8443      14.0297      14.0294      14.0000      14.0000      25.0000      25.0000       1.3748       1.3748       0.0001
2028   28.0181      28.0181      30.1281      30.1280      14.1584      14.1581      14.0000      14.0000      25.0000      25.0000       1.3960       1.3960       0.0001
2029   28.3075      28.3074      30.4185      30.4184      14.2835      14.2831      14.0000      14.0000      25.0000      25.0000       1.4179       1.4179       0.0001
2030   28.5533      28.5532      30.7134      30.7133      14.4040      14.4037      14.0000      14.0000      25.0000      25.0000       1.4406       1.4406       0.0001
2031   28.7520      28.7520      31.0112      31.0111      14.5191      14.5187      14.0000      14.0000      25.0000      25.0000       1.4642       1.4642       0.0001
2032   28.9012      28.9011      31.3175      31.3174      14.6319      14.6315      14.0000      14.0000      25.0000      25.0000       1.4885       1.4885       0.0001
2033   28.9901      28.9900      31.6304      31.6303      14.7395      14.7391      14.0000      14.0000      25.0000      25.0000       1.5141       1.5141       0.0002
2034   29.0136      29.0136      31.9511      31.9510      14.8413      14.8409      14.0000      14.0000      25.0000      25.0000       1.5408       1.5408       0.0002
2035   28.9740      28.9739      32.3034      32.3033      14.9463      14.9460      14.0000      14.0000      25.0000      25.0000       1.5690       1.5690       0.0002
2036   28.8680      28.8680      32.5067      32.5066      14.9737      14.9734      14.0000      14.0000      25.0000      25.0000       1.5991       1.5991       0.0002
2037   28.7178      28.7177      32.7610      32.7608      15.0127      15.0124      14.0000      14.0000      25.0000      25.0000       1.6306       1.6306       0.0003
2038   28.5133      28.5131      32.9918      32.9917      15.0256      15.0253      14.0000      14.0000      25.0000      25.0000       1.6645       1.6645       0.0003
2039   28.2962      28.2961      33.2252      33.2251      15.0334      15.0331      14.0000      14.0000      25.0000      25.0000       1.6992       1.6992       0.0004
2040   28.0766      28.0764      33.4527      33.4526      15.0361      15.0358      14.0000      14.0000      25.0000      25.0000       1.7344       1.7344       0.0004
2041   27.8626      27.8625      33.6830      33.6828      15.0399      15.0396      14.0000      14.0000      25.0000      25.0000       1.7699       1.7699       0.0005
2042   27.6402      27.6400      33.9095      33.9093      15.0406      15.0403      14.0000      14.0000      25.0000      25.0000       1.8060       1.8060       0.0005
2043   27.4013      27.4011      34.1212      34.1211      15.0347      15.0344      14.0000      14.0000      25.0000      25.0000       1.8428       1.8428       0.0006
2044   27.1442      27.1440      34.3126      34.3125      15.0215      15.0212      14.0000      14.0000      25.0000      25.0000       1.8799       1.8799       0.0006
2045   26.8763      26.8760      34.4916      34.4914      15.0053      15.0050      14.0000      14.0000      25.0000      25.0000       1.9173       1.9173       0.0007
2046   26.6003      26.6000      34.6075      34.6074      14.9653      14.9650      14.0000      14.0000      25.0000      25.0000       1.9552       1.9552       0.0007
2047   26.3674      26.3672      34.7041      34.7040      14.9304      14.9301      14.0000      14.0000      25.0000      25.0000       1.9919       1.9919       0.0007
2048   26.1818      26.1815      34.7654      34.7653      14.8891      14.8888      14.0000      14.0000      25.0000      25.0000       2.0281       2.0281       0.0008
2049   26.0494      26.0491      34.8293      34.8291      14.8596      14.8594      14.0000      14.0000      25.0000      25.0000       2.0631       2.0632       0.0008
2050   25.9514      25.9511      34.8899      34.8898      14.8323      14.8320      14.0000      14.0000      25.0000      25.0000       2.0981       2.0982       0.0009
2051   25.8805      25.8801      34.9574      34.9573      14.8104      14.8101      14.0000      14.0000      25.0000      25.0000       2.1330       2.1330       0.0009
2052   25.8246      25.8242      35.0236      35.0235      14.7896      14.7893      14.0000      14.0000      25.0000      25.0000       2.1679       2.1679       0.0009
2053   25.7806      25.7803      35.0989      35.0988      14.7754      14.7751      14.0000      14.0000      25.0000      25.0000       2.2028       2.2028       0.0009
2054   25.7398      25.7394      35.1718      35.1717      14.7611      14.7609      14.0000      14.0000      25.0000      25.0000       2.2381       2.2381       0.0009
2055   25.7107      25.7104      35.2343      35.2342      14.7459      14.7457      14.0000      14.0000      25.0000      25.0000       2.2735       2.2735       0.0010
2056   25.7058      25.7055      35.2843      35.2842      14.7313      14.7311      14.0000      14.0000      25.0000      25.0000       2.3087       2.3087       0.0010
2057   25.7343      25.7339      35.3228      35.3227      14.7194      14.7192      14.0000      14.0000      25.0000      25.0000       2.3436       2.3436       0.0010
2058   25.7980      25.7976      35.3540      35.3539      14.7117      14.7114      14.0000      14.0000      25.0000      25.0000       2.3781       2.3781       0.0010
2059   25.8946      25.8943      35.3726      35.3725      14.7051      14.7049      14.0000      14.0000      25.0000      25.0000       2.4123       2.4124       0.0010
2060   26.0331      26.0328      35.3912      35.3911      14.7047      14.7044      14.0000      14.0000      25.0000      25.0000       2.4463       2.4463       0.0010
2061   26.1915      26.1912      35.4062      35.4061      14.7078      14.7076      14.0000      14.0000      25.0000      25.0000       2.4802       2.4802       0.0010
2062   26.3671      26.3668      35.4206      35.4206      14.7145      14.7142      14.0000      14.0000      25.0000      25.0000       2.5142       2.5142       0.0010
2063   26.5583      26.5580      35.4347      35.4347      14.7240      14.7237      14.0000      14.0000      25.0000      25.0000       2.5483       2.5484       0.0010
2064   26.7648      26.7645      35.4476      35.4476      14.7357      14.7355      14.0000      14.0000      25.0000      25.0000       2.5828       2.5828       0.0010
2065   26.9859      26.9856      35.4589      35.4589      14.7493      14.7491      14.0000      14.0000      25.0000      25.0000       2.6174       2.6175       0.0010
2066   27.2198      27.2195      35.4693      35.4692      14.7643      14.7641      14.0000      14.0000      25.0000      25.0000       2.6523       2.6523       0.0010
2067   27.4640      27.4637      35.4794      35.4794      14.7804      14.7802      14.0000      14.0000      25.0000      25.0000       2.6874       2.6874       0.0010
2068   27.7161      27.7158      35.4918      35.4917      14.7975      14.7973      14.0000      14.0000      25.0000      25.0000       2.7228       2.7228       0.0010
2069   27.9742      27.9738      35.5073      35.5072      14.8149      14.8146      14.0000      14.0000      25.0000      25.0000       2.7586       2.7586       0.0010
2070   28.2372      28.2369      35.5274      35.5274      14.8324      14.8322      14.0000      14.0000      25.0000      25.0000       2.7948       2.7948       0.0010
2071   28.5053      28.5049      35.5463      35.5462      14.8475      14.8473      14.0000      14.0000      25.0000      25.0000       2.8314       2.8314       0.0010
2072   28.7811      28.7807      35.5628      35.5627      14.8613      14.8611      14.0000      14.0000      25.0000      25.0000       2.8682       2.8683       0.0010
2073   29.0686      29.0682      35.5769      35.5769      14.8755      14.8753      14.0000      14.0000      25.0000      25.0000       2.9050       2.9050       0.0010
2074   29.3686      29.3683      35.5866      35.5865      14.8898      14.8896      14.0000      14.0000      25.0000      25.0000       2.9415       2.9415       0.0010
2075   29.6806      29.6803      35.6005      35.6005      14.9079      14.9077      14.0000      14.0000      25.0000      25.0000       2.9778       2.9778       0.0010
2076   29.9975      29.9972      35.5888      35.5888      14.9154      14.9152      14.0000      14.0000      25.0000      25.0000       3.0143       3.0143       0.0010
2077   30.3496      30.3493      35.6107      35.6107      14.9418      14.9416      14.0000      14.0000      25.0000      25.0000       3.0496       3.0496       0.0010
2078   30.6705      30.6702      35.6439      35.6439      14.9677      14.9675      14.0000      14.0000      25.0000      25.0000       3.0859       3.0860       0.0010
2079   30.9580      30.9577      35.6915      35.6916      14.9916      14.9914      14.0000      14.0000      25.0000      25.0000       3.1235       3.1235       0.0010
2080   31.2141      31.2138      35.7685      35.7685      15.0200      15.0198      14.0000      14.0000      25.0000      25.0000       3.1621       3.1622       0.0010
2081   31.4334      31.4331      35.8175      35.8175      15.0279      15.0277      14.0000      14.0000      25.0000      25.0000       3.2026       3.2027       0.0010
2082   31.6436      31.6433      36.0836      36.0836      15.1222      15.1220      14.0000      14.0000      25.0000      25.0000       3.2423       3.2423       0.0010
2083   31.7335      31.7332      35.6775      35.6775      14.9077      14.9076      14.0000      14.0000      25.0000      25.0000       3.2929       3.2929       0.0010
2084   31.9463      31.9460      36.7765      36.7765      15.3342      15.3340      14.0000      14.0000      25.0000      25.0000       3.3118       3.3118       0.0010
2085   32.1685      32.1682      36.7194      36.7194      15.3285      15.3283      14.0000      14.0000      25.0000      25.0000       3.3457       3.3457       0.0010
2086   32.3712      32.3709      36.6672      36.6672      15.3225      15.3223      14.0000      14.0000      25.0000      25.0000       3.3802       3.3803       0.0010
2087   32.5542      32.5539      36.6209      36.6209      15.3161      15.3159      14.0000      14.0000      25.0000      25.0000       3.4154       3.4155       0.0010
2088   32.7180      32.7177      36.5812      36.5813      15.3095      15.3093      14.0000      14.0000      25.0000      25.0000       3.4512       3.4513       0.0010
2089   32.8635      32.8631      36.5486      36.5486      15.3029      15.3027      14.0000      14.0000      25.0000      25.0000       3.4877       3.4877       0.0010
2090   32.9918      32.9915      36.5227      36.5227      15.2963      15.2961      14.0000      14.0000      25.0000      25.0000       3.5248       3.5249       0.0010
2091   33.1032      33.1029      36.5085      36.5086      15.2914      15.2912      14.0000      14.0000      25.0000      25.0000       3.5626       3.5626       0.0011
2092   33.1996      33.1993      36.4984      36.4984      15.2853      15.2851      14.0000      14.0000      25.0000      25.0000       3.6012       3.6012       0.0011
2093   33.2844      33.2841      36.4928      36.4928      15.2794      15.2793      14.0000      14.0000      25.0000      25.0000       3.6402       3.6403       0.0011
2094   33.3585      33.3581      36.4925      36.4925      15.2741      15.2739      14.0000      14.0000      25.0000      25.0000       3.6798       3.6799       0.0011
2095   33.4223      33.4219      36.4968      36.4969      15.2687      15.2685      14.0000      14.0000      25.0000      25.0000       3.7200       3.7200       0.0011
2096   33.4773      33.4770      36.5051      36.5051      15.2633      15.2631      14.0000      14.0000      25.0000      25.0000       3.7606       3.7606       0.0011
2097   33.5252      33.5249      36.5161      36.5162      15.2575      15.2573      14.0000      14.0000      25.0000      25.0000       3.8016       3.8017       0.0011
2098   33.5679      33.5675      36.5289      36.5289      15.2513      15.2511      14.0000      14.0000      25.0000      25.0000       3.8430       3.8430       0.0011
2099   33.6070      33.6067      36.5425      36.5425      15.2447      15.2445      14.0000      14.0000      25.0000      25.0000       3.8845       3.8845       0.0011
2100   33.6442      33.6439      36.5572      36.5572      15.2380      15.2378      14.0000      14.0000      25.0000      25.0000       3.9262       3.9262       0.0011
2101   33.6804      33.6801      36.5725      36.5726      15.2311      15.2309      14.0000      14.0000      25.0000      25.0000       3.9680       3.9681       0.0011
2102   33.7169      33.7166      36.5877      36.5878      15.2238      15.2236      14.0000      14.0000      25.0000      25.0000       4.0099       4.0100       0.0011
2103   33.7550      33.7546      36.6023      36.6024      15.2162      15.2160      14.0000      14.0000      25.0000      25.0000       4.0519       4.0519       0.0011
2104   33.7958      33.7955      36.6162      36.6162      15.2085      15.2084      14.0000      14.0000      25.0000      25.0000       4.0938       4.0938       0.0011
2105   33.8402      33.8399      36.6292      36.6292      15.2009      15.2007      14.0000      14.0000      25.0000      25.0000       4.1357       4.1357       0.0011
