YEAR   US-Base    US-Refm    EU-Base    EU-Refm    JK-Base    JK-Refm    CH-Base    CH-Refm    IN-Base    IN-Refm    RU-Base    RU-Refm
2012    0.9665     0.9665     1.0364     1.0364     0.3887     0.3887     0.9673     0.9673     0.3931     0.3931     0.7183     0.7183
2013    1.0000     1.0000     1.0624     1.0624     0.3948     0.3948     1.0051     1.0051     0.4174     0.4174     0.7224     0.7224
2014    1.0333     1.0333     1.0884     1.0884     0.3997     0.3997     1.0459     1.0459     0.4437     0.4437     0.7247     0.7247
2015    1.0663     1.0663     1.1139     1.1139     0.4042     0.4042     1.0899     1.0899     0.4722     0.4722     0.7250     0.7250
2016    1.0986     1.0986     1.1388     1.1388     0.4089     0.4089     1.1370     1.1370     0.5028     0.5028     0.7231     0.7231
2017    1.1301     1.1301     1.1629     1.1629     0.4134     0.4134     1.1868     1.1868     0.5356     0.5356     0.7213     0.7213
2018    1.1608     1.1608     1.1866     1.1866     0.4177     0.4177     1.2394     1.2394     0.5708     0.5708     0.7185     0.7185
2019    1.1906     1.1906     1.2095     1.2095     0.4218     0.4218     1.2946     1.2946     0.6081     0.6081     0.7162     0.7162
2020    1.2198     1.2198     1.2318     1.2318     0.4258     0.4258     1.3523     1.3523     0.6477     0.6477     0.7141     0.7141
2021    1.2483     1.2483     1.2534     1.2534     0.4309     0.4309     1.4093     1.4093     0.6928     0.6928     0.7123     0.7123
2022    1.2769     1.2769     1.2747     1.2747     0.4348     0.4348     1.4673     1.4673     0.7406     0.7406     0.7105     0.7105
2023    1.3054     1.3054     1.2952     1.2952     0.4384     0.4384     1.5268     1.5268     0.7915     0.7915     0.7088     0.7088
2024    1.3343     1.3344     1.3151     1.3151     0.4418     0.4418     1.5881     1.5881     0.8455     0.8455     0.7061     0.7061
2025    1.3637     1.3637     1.3347     1.3347     0.4451     0.4451     1.6510     1.6510     0.9027     0.9027     0.7023     0.7023
2026    1.3935     1.3935     1.3544     1.3544     0.4482     0.4482     1.7151     1.7151     0.9630     0.9630     0.6974     0.6974
2027    1.4236     1.4236     1.3748     1.3748     0.4512     0.4512     1.7811     1.7811     1.0260     1.0260     0.6924     0.6924
2028    1.4537     1.4537     1.3960     1.3960     0.4541     0.4541     1.8498     1.8498     1.0916     1.0916     0.6860     0.6860
2029    1.4838     1.4838     1.4179     1.4179     0.4566     0.4566     1.9223     1.9223     1.1595     1.1595     0.6793     0.6793
2030    1.5136     1.5137     1.4406     1.4406     0.4589     0.4589     1.9998     1.9998     1.2297     1.2297     0.6710     0.6710
2031    1.5431     1.5431     1.4642     1.4642     0.4610     0.4610     2.0830     2.0830     1.3019     1.3019     0.6615     0.6615
2032    1.5720     1.5720     1.4885     1.4885     0.4630     0.4630     2.1717     2.1717     1.3765     1.3765     0.6515     0.6515
2033    1.6003     1.6003     1.5141     1.5141     0.4651     0.4651     2.2650     2.2650     1.4534     1.4534     0.6410     0.6410
2034    1.6283     1.6283     1.5408     1.5408     0.4673     0.4673     2.3633     2.3633     1.5325     1.5325     0.6301     0.6301
2035    1.6564     1.6564     1.5690     1.5690     0.4698     0.4698     2.4662     2.4662     1.6137     1.6137     0.6179     0.6179
2036    1.6853     1.6853     1.5991     1.5991     0.4726     0.4726     2.5733     2.5733     1.6969     1.6969     0.6046     0.6046
2037    1.7140     1.7140     1.6306     1.6306     0.4758     0.4758     2.6843     2.6843     1.7826     1.7826     0.5910     0.5910
2038    1.7423     1.7423     1.6645     1.6645     0.4795     0.4795     2.7987     2.7987     1.8708     1.8708     0.5760     0.5760
2039    1.7701     1.7701     1.6992     1.6992     0.4833     0.4833     2.9161     2.9161     1.9614     1.9614     0.5602     0.5602
2040    1.7969     1.7969     1.7344     1.7344     0.4871     0.4871     3.0362     3.0362     2.0545     2.0545     0.5448     0.5448
2041    1.8227     1.8227     1.7699     1.7699     0.4910     0.4910     3.1586     3.1586     2.1497     2.1497     0.5306     0.5306
2042    1.8473     1.8473     1.8060     1.8060     0.4947     0.4947     3.2833     3.2833     2.2469     2.2469     0.5171     0.5171
2043    1.8707     1.8707     1.8428     1.8428     0.4985     0.4985     3.4101     3.4102     2.3456     2.3456     0.5060     0.5061
2044    1.8930     1.8930     1.8799     1.8799     0.5022     0.5022     3.5379     3.5379     2.4468     2.4468     0.4997     0.4997
2045    1.9150     1.9150     1.9173     1.9173     0.5058     0.5058     3.6657     3.6657     2.5503     2.5503     0.4976     0.4976
2046    1.9370     1.9370     1.9552     1.9552     0.5095     0.5095     3.7931     3.7931     2.6561     2.6561     0.4992     0.4992
2047    1.9593     1.9593     1.9919     1.9919     0.5130     0.5130     3.9203     3.9204     2.7641     2.7641     0.5046     0.5047
2048    1.9825     1.9826     2.0281     2.0281     0.5165     0.5165     4.0446     4.0446     2.8721     2.8721     0.5130     0.5130
2049    2.0061     2.0061     2.0631     2.0632     0.5199     0.5199     4.1687     4.1688     2.9804     2.9804     0.5238     0.5238
2050    2.0309     2.0309     2.0981     2.0982     0.5235     0.5235     4.2937     4.2938     3.0892     3.0892     0.5347     0.5347
2051    2.0565     2.0565     2.1330     2.1330     0.5271     0.5272     4.4203     4.4204     3.1982     3.1982     0.5467     0.5467
