YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013    3.1715       3.1715      21.0786      21.0787       4.1841       4.1840       3.0000       3.0000      30.0000      30.0000       0.4174       0.4174       0.0001
2014    3.1550       3.1550      21.2097      21.2097       4.1204       4.1203       3.0000       3.0000      30.0000      30.0000       0.4437       0.4437       0.0001
2015    3.1345       3.1345      21.3484      21.3484       4.0648       4.0648       3.0000       3.0000      30.0000      30.0000       0.4722       0.4722       0.0000
2016    3.1105       3.1105      21.5249      21.5249       4.0224       4.0224       3.0000       3.0000      30.0000      30.0000       0.5028       0.5028       0.0000
2017    3.0833       3.0833      21.7087      21.7088       3.9876       3.9875       3.0000       3.0000      30.0000      30.0000       0.5356       0.5356       0.0000
2018    3.0524       3.0524      21.9268      21.9268       3.9642       3.9641       3.0000       3.0000      30.0000      30.0000       0.5708       0.5708       0.0000
2019    3.0189       3.0189      22.1375      22.1375       3.9450       3.9450       3.0000       3.0000      30.0000      30.0000       0.6081       0.6081       0.0000
2020    2.9838       2.9837      21.7252      21.7253       3.8262       3.8261       3.0000       3.0000      30.0000      30.0000       0.6477       0.6477      -0.0001
2021    2.9342       2.9342      21.9174      21.9174       3.8056       3.8056       3.0000       3.0000      30.0000      30.0000       0.6928       0.6928      -0.0001
2022    2.8849       2.8849      22.0587      22.0588       3.7801       3.7800       3.0000       3.0000      30.0000      30.0000       0.7406       0.7406      -0.0001
2023    2.8346       2.8346      22.1946      22.1947       3.7592       3.7592       3.0000       3.0000      30.0000      30.0000       0.7915       0.7915      -0.0001
2024    2.7840       2.7840      22.3559      22.3560       3.7467       3.7466       3.0000       3.0000      30.0000      30.0000       0.8455       0.8455      -0.0001
2025    2.7343       2.7343      22.5427      22.5427       3.7419       3.7419       3.0000       3.0000      30.0000      30.0000       0.9027       0.9027      -0.0001
2026    2.6862       2.6862      22.7952      22.7952       3.7508       3.7508       3.0000       3.0000      30.0000      30.0000       0.9630       0.9630      -0.0001
2027    2.6406       2.6406      23.0698      23.0698       3.7661       3.7661       3.0000       3.0000      30.0000      30.0000       1.0260       1.0260      -0.0001
2028    2.5972       2.5972      23.3896      23.3896       3.7911       3.7910       3.0000       3.0000      30.0000      30.0000       1.0916       1.0916      -0.0001
2029    2.5570       2.5570      23.7275      23.7276       3.8215       3.8215       3.0000       3.0000      30.0000      30.0000       1.1595       1.1595       0.0000
2030    2.5207       2.5207      24.0906      24.0907       3.8589       3.8588       3.0000       3.0000      30.0000      30.0000       1.2297       1.2297       0.0000
2031    2.4887       2.4887      24.4135      24.4136       3.8938       3.8938       3.0000       3.0000      30.0000      30.0000       1.3019       1.3019       0.0000
2032    2.4596       2.4596      24.7418      24.7419       3.9319       3.9319       3.0000       3.0000      30.0000      30.0000       1.3765       1.3765       0.0000
2033    2.4330       2.4330      25.0956      25.0956       3.9753       3.9752       3.0000       3.0000      30.0000      30.0000       1.4534       1.4534       0.0000
2034    2.4091       2.4091      25.4556      25.4557       4.0205       4.0205       3.0000       3.0000      30.0000      30.0000       1.5325       1.5325       0.0001
2035    2.3881       2.3881      25.8441      25.8441       4.0706       4.0706       3.0000       3.0000      30.0000      30.0000       1.6137       1.6137       0.0001
2036    2.3702       2.3702      26.2055      26.2056       4.1174       4.1173       3.0000       3.0000      30.0000      30.0000       1.6969       1.6969       0.0001
2037    2.3541       2.3541      26.5788      26.5788       4.1657       4.1657       3.0000       3.0000      30.0000      30.0000       1.7826       1.7826       0.0002
2038    2.3390       2.3390      26.9705      26.9705       4.2163       4.2163       3.0000       3.0000      30.0000      30.0000       1.8708       1.8708       0.0002
2039    2.3248       2.3248      27.3958      27.3959       4.2712       4.2712       3.0000       3.0000      30.0000      30.0000       1.9614       1.9614       0.0003
2040    2.3118       2.3118      27.8519      27.8519       4.3303       4.3302       3.0000       3.0000      30.0000      30.0000       2.0545       2.0545       0.0003
2041    2.2986       2.2986      28.3427      28.3428       4.3947       4.3946       3.0000       3.0000      30.0000      30.0000       2.1497       2.1497       0.0004
2042    2.2853       2.2853      28.8720      28.8721       4.4653       4.4653       3.0000       3.0000      30.0000      30.0000       2.2469       2.2469       0.0004
2043    2.2718       2.2718      29.3563      29.3563       4.5308       4.5308       3.0000       3.0000      30.0000      30.0000       2.3456       2.3456       0.0005
2044    2.2573       2.2573      29.8586      29.8587       4.5995       4.5995       3.0000       3.0000      30.0000      30.0000       2.4468       2.4468       0.0005
2045    2.2419       2.2419      30.3741      30.3742       4.6707       4.6707       3.0000       3.0000      30.0000      30.0000       2.5503       2.5503       0.0006
2046    2.2258       2.2258      30.9036      30.9037       4.7448       4.7448       3.0000       3.0000      30.0000      30.0000       2.6561       2.6561       0.0006
2047    2.2096       2.2096      31.5527      31.5528       4.8374       4.8373       3.0000       3.0000      30.0000      30.0000       2.7641       2.7641       0.0007
2048    2.2180       2.2180      32.2044      32.2045       4.9347       4.9347       3.0000       3.0000      30.0000      30.0000       2.8721       2.8721       0.0007
2049    2.2481       2.2481      32.4071      32.4072       4.9722       4.9721       3.0000       3.0000      30.0000      30.0000       2.9804       2.9804       0.0007
2050    2.2978       2.2978      32.6150      32.6151       5.0135       5.0135       3.0000       3.0000      30.0000      30.0000       3.0892       3.0892       0.0007
2051    2.3644       2.3643      32.7908      32.7909       5.0533       5.0533       3.0000       3.0000      30.0000      30.0000       3.1982       3.1982       0.0008
2052    2.4455       2.4454      32.9734      32.9735       5.0966       5.0965       3.0000       3.0000      30.0000      30.0000       3.3079       3.3079       0.0008
2053    2.5394       2.5394      33.1317      33.1318       5.1391       5.1390       3.0000       3.0000      30.0000      30.0000       3.4179       3.4179       0.0008
2054    2.6442       2.6442      33.2893      33.2894       5.1837       5.1836       3.0000       3.0000      30.0000      30.0000       3.5284       3.5284       0.0008
2055    2.7587       2.7587      33.4303      33.4304       5.2282       5.2281       3.0000       3.0000      30.0000      30.0000       3.6392       3.6392       0.0008
2056    2.8817       2.8816      33.5582      33.5583       5.2730       5.2729       3.0000       3.0000      30.0000      30.0000       3.7505       3.7506       0.0008
2057    3.0121       3.0120      33.6679      33.6680       5.3169       5.3168       3.0000       3.0000      30.0000      30.0000       3.8624       3.8625       0.0008
2058    3.1485       3.1484      33.7769      33.7770       5.3622       5.3621       3.0000       3.0000      30.0000      30.0000       3.9752       3.9752       0.0008
2059    3.2897       3.2897      34.0141      34.0142       5.4279       5.4278       3.0000       3.0000      30.0000      30.0000       4.0886       4.0886       0.0008
2060    3.4702       3.4701      34.1203      34.1204       5.4800       5.4800       3.0000       3.0000      30.0000      30.0000       4.1988       4.1989       0.0008
2061    3.6524       3.6523      34.2197      34.2198       5.5321       5.5321       3.0000       3.0000      30.0000      30.0000       4.3096       4.3097       0.0008
2062    3.8400       3.8399      34.3128      34.3129       5.5840       5.5840       3.0000       3.0000      30.0000      30.0000       4.4210       4.4211       0.0008
2063    4.0319       4.0318      34.4031      34.4032       5.6359       5.6359       3.0000       3.0000      30.0000      30.0000       4.5331       4.5332       0.0008
2064    4.2260       4.2260      34.5160      34.5161       5.6914       5.6913       3.0000       3.0000      30.0000      30.0000       4.6459       4.6459       0.0008
2065    4.4205       4.4205      34.6174      34.6175       5.7450       5.7449       3.0000       3.0000      30.0000      30.0000       4.7593       4.7593       0.0008
