YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013    8.7517       8.7517      17.3370      17.3370      15.9004      15.9001       8.0000       8.0000      30.0000      30.0000       0.3948       0.3948       0.0003
2014    8.9005       8.9005      17.3955      17.3956      16.1529      16.1525       8.0000       8.0000      30.0000      30.0000       0.3997       0.3997       0.0002
2015    9.0271       9.0271      17.3773      17.3773      16.3426      16.3422       8.0000       8.0000      30.0000      30.0000       0.4042       0.4042       0.0002
2016    9.1301       9.1301      17.3726      17.3727      16.5362      16.5358       8.0000       8.0000      30.0000      30.0000       0.4089       0.4089       0.0002
2017    9.2189       9.2189      17.3624      17.3624      16.7236      16.7232       8.0000       8.0000      30.0000      30.0000       0.4134       0.4134       0.0001
2018    9.3001       9.3001      17.3676      17.3676      16.9274      16.9270       8.0000       8.0000      30.0000      30.0000       0.4177       0.4177       0.0001
2019    9.3797       9.3797      17.3364      17.3364      17.1019      17.1015       8.0000       8.0000      30.0000      30.0000       0.4218       0.4218       0.0001
2020    9.4616       9.4616      17.1992      17.1992      17.1774      17.1770       8.0000       8.0000      30.0000      30.0000       0.4258       0.4258       0.0000
2021    9.5264       9.5264      17.1986      17.1986      17.3284      17.3280       8.0000       8.0000      30.0000      30.0000       0.4309       0.4309       0.0000
2022    9.6245       9.6246      17.1336      17.1336      17.4624      17.4620       8.0000       8.0000      30.0000      30.0000       0.4348       0.4348       0.0000
2023    9.7363       9.7364      17.0444      17.0444      17.5833      17.5829       8.0000       8.0000      30.0000      30.0000       0.4384       0.4384       0.0000
2024    9.8644       9.8645      16.9294      16.9294      17.6803      17.6799       8.0000       8.0000      30.0000      30.0000       0.4418       0.4418       0.0000
2025    9.9963       9.9964      16.8080      16.8080      17.7682      17.7678       8.0000       8.0000      30.0000      30.0000       0.4451       0.4451       0.0000
2026   10.1371      10.1372      16.6829      16.6829      17.8523      17.8519       8.0000       8.0000      30.0000      30.0000       0.4482       0.4482       0.0000
2027   10.2950      10.2950      16.5413      16.5413      17.9242      17.9238       8.0000       8.0000      30.0000      30.0000       0.4512       0.4512       0.0000
2028   10.4744      10.4744      16.4089      16.4089      18.0066      18.0062       8.0000       8.0000      30.0000      30.0000       0.4541       0.4541       0.0000
2029   10.6782      10.6782      16.2640      16.2640      18.0845      18.0840       8.0000       8.0000      30.0000      30.0000       0.4566       0.4566       0.0000
2030   10.8995      10.8995      16.1048      16.1048      18.1564      18.1560       8.0000       8.0000      30.0000      30.0000       0.4589       0.4589       0.0000
2031   11.1321      11.1321      15.9348      15.9348      18.2229      18.2225       8.0000       8.0000      30.0000      30.0000       0.4610       0.4610       0.0000
