YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013   14.1019      14.1018      89.3232      89.3236       9.3788       9.3787       1.8000       1.8000      30.0000      30.0000       0.7224       0.7224       0.0005
2014   14.5970      14.5969      87.5982      87.5987       9.5077       9.5075       1.8000       1.8000      30.0000      30.0000       0.7247       0.7247       0.0005
2015   15.1698      15.1697      85.6440      85.6445       9.6363       9.6361       1.8000       1.8000      30.0000      30.0000       0.7250       0.7250       0.0004
2016   15.8698      15.8698      83.3683      83.3688       9.7546       9.7544       1.8000       1.8000      30.0000      30.0000       0.7231       0.7231       0.0004
2017   16.4993      16.4993      81.1801      81.1807       9.8687       9.8686       1.8000       1.8000      30.0000      30.0000       0.7213       0.7213       0.0004
2018   17.1293      17.1293      78.9025      78.9030       9.9748       9.9747       1.8000       1.8000      30.0000      30.0000       0.7185       0.7185       0.0004
2019   17.6826      17.6825      76.5847      76.5853      10.0624      10.0623       1.8000       1.8000      30.0000      30.0000       0.7162       0.7162       0.0004
2020   18.1788      18.1788      74.1574      74.1579      10.1279      10.1277       1.8000       1.8000      30.0000      30.0000       0.7141       0.7141       0.0004
2021   18.6039      18.6039      71.6841      71.6846      10.1673      10.1671       1.8000       1.8000      30.0000      30.0000       0.7123       0.7123       0.0004
2022   18.9915      18.9915      69.2011      69.2016      10.1856      10.1855       1.8000       1.8000      30.0000      30.0000       0.7105       0.7105       0.0004
2023   19.3392      19.3392      66.6301      66.6305      10.1788      10.1786       1.8000       1.8000      30.0000      30.0000       0.7088       0.7088       0.0004
2024   19.7062      19.7062      63.9531      63.9536      10.1545      10.1543       1.8000       1.8000      30.0000      30.0000       0.7061       0.7061       0.0004
2025   20.2161      20.2161      61.0652      61.0656      10.1106      10.1104       1.8000       1.8000      30.0000      30.0000       0.7023       0.7023       0.0004
2026   20.8179      20.8179      58.0898      58.0902      10.0368      10.0367       1.8000       1.8000      30.0000      30.0000       0.6974       0.6974       0.0004
2027   21.3845      21.3845      55.2695      55.2699       9.9543       9.9542       1.8000       1.8000      30.0000      30.0000       0.6924       0.6924       0.0004
