YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013    8.6925       8.6925      16.3111      16.3111      15.3484      15.3483      11.0000      11.0000      35.0000      35.0000       1.0000       1.0000       0.0006
2014    8.7966       8.7965      16.9863      16.9863      15.7018      15.7017      11.0000      11.0000      35.0000      35.0000       1.0333       1.0333       0.0006
2015    8.9147       8.9146      17.6061      17.6061      16.0015      16.0015      11.0000      11.0000      35.0000      35.0000       1.0663       1.0663       0.0006
2016    9.0522       9.0522      18.2290      18.2290      16.3044      16.3043      11.0000      11.0000      35.0000      35.0000       1.0986       1.0986       0.0006
2017    9.2126       9.2126      18.8447      18.8447      16.6051      16.6050      11.0000      11.0000      35.0000      35.0000       1.1301       1.1301       0.0006
2018    9.3942       9.3941      19.4571      19.4571      16.9059      16.9059      11.0000      11.0000      35.0000      35.0000       1.1608       1.1608       0.0006
2019    9.5933       9.5933      20.0581      20.0581      17.2016      17.2015      11.0000      11.0000      35.0000      35.0000       1.1906       1.1906       0.0006
2020    9.8037       9.8037      20.6489      20.6489      17.4912      17.4911      11.0000      11.0000      35.0000      35.0000       1.2198       1.2198       0.0006
2021   10.0210      10.0210      21.2210      21.2210      17.7679      17.7678      11.0000      11.0000      35.0000      35.0000       1.2483       1.2483       0.0006
2022   10.2362      10.2361      21.7970      21.7970      18.0397      18.0396      11.0000      11.0000      35.0000      35.0000       1.2769       1.2769       0.0006
2023   10.4451      10.4450      22.3496      22.3496      18.2891      18.2890      11.0000      11.0000      35.0000      35.0000       1.3054       1.3054       0.0006
2024   10.6385      10.6384      22.8837      22.8837      18.5155      18.5155      11.0000      11.0000      35.0000      35.0000       1.3343       1.3344       0.0006
2025   10.8105      10.8105      23.4035      23.4035      18.7209      18.7209      11.0000      11.0000      35.0000      35.0000       1.3637       1.3637       0.0006
2026   10.9594      10.9593      23.9168      23.9168      18.9117      18.9116      11.0000      11.0000      35.0000      35.0000       1.3935       1.3935       0.0006
